 % the field is ups
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
   5.00 -0.113635E-004  0.873311E-004  0.880673E-004  0.821898E-005 -0.385599E-004  0.394261E-004
   5.50  0.263086E-004 -0.878849E-004  0.917382E-004 -0.132678E-004  0.388530E-004  0.410560E-004
   6.00 -0.391215E-004  0.842192E-004  0.928621E-004  0.173913E-004 -0.377678E-004  0.415796E-004
   6.50  0.485985E-004 -0.772169E-004  0.912374E-004 -0.201623E-004  0.355986E-004  0.409118E-004
   7.00 -0.539888E-004  0.678884E-004  0.867388E-004  0.213080E-004 -0.326698E-004  0.390044E-004
   7.50  0.549793E-004 -0.571905E-004  0.793314E-004 -0.207069E-004  0.292716E-004  0.358553E-004
   8.00 -0.516392E-004  0.458889E-004  0.690825E-004  0.183737E-004 -0.256111E-004  0.315202E-004
   8.50  0.443489E-004 -0.344754E-004  0.561728E-004 -0.144401E-004  0.217836E-004  0.261351E-004
   9.00 -0.337347E-004  0.231382E-004  0.409073E-004  0.914067E-005 -0.177628E-004  0.199767E-004
   9.50  0.206204E-004 -0.117822E-004  0.237491E-004 -0.280503E-005  0.134134E-004  0.137036E-004
  10.00 -0.600031E-005  0.960413E-007  0.600107E-005 -0.414088E-005 -0.852212E-005  0.947488E-005
  10.50 -0.897265E-005  0.123409E-004  0.152580E-004  0.111702E-004  0.284943E-005  0.115279E-004
  11.00  0.229981E-004 -0.259167E-004  0.346495E-004 -0.176540E-004  0.380062E-005  0.180585E-004
  11.50 -0.346600E-004  0.408191E-004  0.535492E-004  0.228759E-004 -0.114956E-004  0.256019E-004
  12.00  0.425058E-004 -0.568602E-004  0.709918E-004 -0.260754E-004  0.200836E-004  0.329132E-004
  12.50 -0.451955E-004  0.733207E-004  0.861311E-004  0.265337E-004 -0.291112E-004  0.393891E-004
  13.00  0.417362E-004 -0.888584E-004  0.981720E-004 -0.237078E-004  0.377755E-004  0.445987E-004
  13.50 -0.317908E-004  0.101539E-003  0.106399E-003  0.174085E-004 -0.449415E-004  0.481954E-004
  14.00  0.160148E-004 -0.109047E-003  0.110217E-003 -0.799484E-005  0.492617E-004  0.499063E-004
  14.50  0.367165E-005  0.109129E-003  0.109190E-003 -0.346572E-005 -0.494215E-004  0.495429E-004
  15.00 -0.240157E-004 -0.100245E-003  0.103082E-003  0.151518E-004  0.445101E-004  0.470184E-004
  15.50  0.407281E-004  0.823656E-004  0.918851E-004 -0.246461E-004 -0.344654E-004  0.423709E-004
  16.00 -0.492688E-004 -0.576672E-004  0.758480E-004  0.293700E-004  0.204769E-004  0.358036E-004
  16.50  0.461294E-004  0.308356E-004  0.554865E-004 -0.273019E-004 -0.516423E-005  0.277860E-004
  17.00 -0.304005E-004 -0.859017E-005  0.315909E-004  0.178624E-004 -0.767428E-005  0.194412E-004
  17.50  0.513691E-005 -0.182494E-005  0.545145E-005 -0.269590E-005  0.138970E-004  0.141560E-004
  18.00  0.222033E-004 -0.487445E-005  0.227320E-004 -0.140573E-004 -0.104090E-004  0.174915E-004
  18.50 -0.409817E-004  0.291416E-004  0.502865E-004  0.264176E-004 -0.321606E-005  0.266127E-004
  19.00  0.406131E-004 -0.645178E-004  0.762362E-004 -0.283551E-004  0.235387E-004  0.368522E-004
  19.50 -0.152764E-004  0.978339E-004  0.990194E-004  0.164254E-004 -0.433225E-004  0.463318E-004
  20.00 -0.316003E-004 -0.112819E-003  0.117161E-003  0.769260E-005  0.535103E-004  0.540605E-004
  20.50  0.856916E-004  0.968930E-004  0.129350E-003 -0.362229E-004 -0.470061E-004  0.593436E-004
