 % the field is usp
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
   5.00  0.831834E-006  0.170493E-005  0.189703E-005  0.136910E-007  0.280611E-007  0.312229E-007
   5.50  0.247636E-005  0.376248E-005  0.450428E-005  0.633219E-007  0.962088E-007  0.115177E-006
   6.00  0.531422E-005  0.618834E-005  0.815699E-005  0.184376E-006  0.214703E-006  0.283005E-006
   6.50  0.950006E-005  0.857961E-005  0.128008E-004  0.416400E-006  0.376055E-006  0.561076E-006
   7.00  0.150825E-004  0.105093E-004  0.183828E-004  0.799069E-006  0.556782E-006  0.973919E-006
   7.50  0.220026E-004  0.115491E-004  0.248494E-004  0.136728E-005  0.717681E-006  0.154419E-005
   8.00  0.301020E-004  0.112943E-004  0.321511E-004  0.214687E-005  0.805504E-006  0.229301E-005
   8.50  0.391270E-004  0.938088E-005  0.402358E-004  0.315031E-005  0.755303E-006  0.323959E-005
   9.00  0.487443E-004  0.550620E-005  0.490543E-004  0.437382E-005  0.494070E-006  0.440163E-005
   9.50  0.585514E-004 -0.558059E-006  0.585540E-004  0.579436E-005 -0.552266E-007  0.579462E-005
  10.00  0.681047E-004 -0.895351E-005  0.686907E-004  0.737010E-005 -0.968925E-006  0.743352E-005
  10.50  0.769247E-004 -0.197293E-004  0.794144E-004  0.903822E-005 -0.231809E-005  0.933075E-005
  11.00  0.845260E-004 -0.328390E-004  0.906810E-004  0.107176E-004 -0.416387E-005  0.114980E-004
  11.50  0.904285E-004 -0.481396E-004  0.102444E-003  0.123094E-004 -0.655294E-005  0.139450E-004
  12.00  0.941819E-004 -0.653986E-004  0.114661E-003  0.137014E-004 -0.951409E-005  0.166808E-004
  12.50  0.953761E-004 -0.842977E-004  0.127290E-003  0.147702E-004 -0.130545E-004  0.197124E-004
  13.00  0.936596E-004 -0.104445E-003  0.140289E-003  0.153860E-004 -0.171579E-004  0.230461E-004
  13.50  0.887506E-004 -0.125389E-003  0.153620E-003  0.154180E-004 -0.217829E-004  0.266872E-004
  14.00  0.804448E-004 -0.146625E-003  0.167243E-003  0.147377E-004 -0.268620E-004  0.306393E-004
  14.50  0.686240E-004 -0.167617E-003  0.181121E-003  0.132250E-004 -0.323027E-004  0.349051E-004
  15.00  0.532600E-004 -0.187815E-003  0.195221E-003  0.107729E-004 -0.379892E-004  0.394871E-004
  15.50  0.344129E-004 -0.206659E-003  0.209505E-003  0.729069E-005 -0.437827E-004  0.443856E-004
  16.00  0.122328E-004 -0.223607E-003  0.223941E-003  0.270944E-005 -0.495267E-004  0.496007E-004
  16.50 -0.130460E-004 -0.238143E-003  0.238500E-003 -0.301575E-005 -0.550498E-004  0.551323E-004
  17.00 -0.411116E-004 -0.249787E-003  0.253147E-003 -0.990291E-005 -0.601683E-004  0.609778E-004
  17.50 -0.715819E-004 -0.258115E-003  0.267857E-003 -0.179414E-004 -0.646943E-004  0.671360E-004
  18.00 -0.104015E-003 -0.262761E-003  0.282599E-003 -0.270906E-004 -0.684361E-004  0.736030E-004
  18.50 -0.137918E-003 -0.263427E-003  0.297347E-003 -0.372804E-004 -0.712065E-004  0.803753E-004
  19.00 -0.172763E-003 -0.259891E-003  0.312075E-003 -0.484113E-004 -0.728263E-004  0.874490E-004
  19.50 -0.207995E-003 -0.252011E-003  0.326759E-003 -0.603564E-004 -0.731289E-004  0.948194E-004
  20.00 -0.243046E-003 -0.239719E-003  0.341375E-003 -0.729624E-004 -0.719636E-004  0.102481E-003
  20.50 -0.277348E-003 -0.223032E-003  0.355901E-003 -0.860541E-004 -0.692012E-004  0.110427E-003
  21.00 -0.310341E-003 -0.202041E-003  0.370314E-003 -0.994359E-004 -0.647358E-004  0.118652E-003
  21.50 -0.341490E-003 -0.176915E-003  0.384596E-003 -0.112898E-003 -0.584889E-004  0.127149E-003
  22.00 -0.370287E-003 -0.147887E-003  0.398727E-003 -0.126217E-003 -0.504094E-004  0.135911E-003
  22.50 -0.396266E-003 -0.115256E-003  0.412687E-003 -0.139164E-003 -0.404765E-004  0.144931E-003
  23.00 -0.419009E-003 -0.793746E-004  0.426461E-003 -0.151506E-003 -0.287004E-004  0.154200E-003
  23.50 -0.438150E-003 -0.406422E-004  0.440031E-003 -0.163011E-003 -0.151207E-004  0.163711E-003
  24.00 -0.453381E-003  0.502828E-006  0.453381E-003 -0.173455E-003  0.192372E-006  0.173455E-003
  24.50 -0.464458E-003  0.435928E-004  0.466499E-003 -0.182621E-003  0.171403E-004  0.183423E-003
  25.00 -0.471195E-003  0.881402E-004  0.479368E-003 -0.190306E-003  0.355980E-004  0.193607E-003
  25.50 -0.473476E-003  0.133646E-003  0.491977E-003 -0.196326E-003  0.554160E-004  0.203997E-003
  26.00 -0.471245E-003  0.179608E-003  0.504312E-003 -0.200514E-003  0.764230E-004  0.214585E-003
  26.50 -0.464508E-003  0.225530E-003  0.516363E-003 -0.202728E-003  0.984295E-004  0.225360E-003
  27.00 -0.453330E-003  0.270929E-003  0.528120E-003 -0.202848E-003  0.121230E-003  0.236314E-003
  27.50 -0.437833E-003  0.315342E-003  0.539572E-003 -0.200781E-003  0.144609E-003  0.247436E-003
  28.00 -0.418187E-003  0.358332E-003  0.550710E-003 -0.196459E-003  0.168340E-003  0.258718E-003
  28.50 -0.394609E-003  0.399495E-003  0.561527E-003 -0.189845E-003  0.192196E-003  0.270149E-003
  29.00 -0.367357E-003  0.438461E-003  0.572014E-003 -0.180925E-003  0.215944E-003  0.281719E-003
  29.50 -0.336723E-003  0.474901E-003  0.582163E-003 -0.169714E-003  0.239358E-003  0.293419E-003
  30.00 -0.303029E-003  0.508530E-003  0.591970E-003 -0.156252E-003  0.262215E-003  0.305240E-003
  30.50 -0.266616E-003  0.539103E-003  0.601429E-003 -0.140603E-003  0.284302E-003  0.317170E-003
  31.00 -0.227846E-003  0.566425E-003  0.610534E-003 -0.122855E-003  0.305418E-003  0.329202E-003
  31.50 -0.187089E-003  0.590344E-003  0.619281E-003 -0.103116E-003  0.325375E-003  0.341324E-003
  32.00 -0.144721E-003  0.610755E-003  0.627667E-003 -0.815129E-004  0.344002E-003  0.353528E-003
  32.50 -0.101118E-003  0.627594E-003  0.635688E-003 -0.581878E-004  0.361146E-003  0.365804E-003
  33.00 -0.566504E-004  0.640844E-003  0.643343E-003 -0.332979E-004  0.376674E-003  0.378143E-003
  33.50 -0.116800E-004  0.650524E-003  0.650629E-003 -0.701087E-005  0.390473E-003  0.390536E-003
  34.00  0.334458E-004  0.656693E-003  0.657545E-003  0.204971E-004  0.402452E-003  0.402973E-003
  34.50  0.783959E-004  0.659447E-003  0.664090E-003  0.490437E-004  0.412543E-003  0.415448E-003
  35.00  0.122860E-003  0.658909E-003  0.670265E-003  0.784435E-004  0.420700E-003  0.427951E-003
  35.50  0.166549E-003  0.655234E-003  0.676070E-003  0.108510E-003  0.426898E-003  0.440473E-003
  36.00  0.209201E-003  0.648602E-003  0.681506E-003  0.139059E-003  0.431136E-003  0.453007E-003
  36.50  0.250576E-003  0.639215E-003  0.686574E-003  0.169908E-003  0.433433E-003  0.465546E-003
  37.00  0.290465E-003  0.627292E-003  0.691278E-003  0.200883E-003  0.433830E-003  0.478082E-003
  37.50  0.328684E-003  0.613068E-003  0.695619E-003  0.231816E-003  0.432387E-003  0.490609E-003
  38.00  0.365078E-003  0.596790E-003  0.699601E-003  0.262547E-003  0.429183E-003  0.503119E-003
  38.50  0.399521E-003  0.578716E-003  0.703227E-003  0.292930E-003  0.424316E-003  0.515608E-003
  39.00  0.431909E-003  0.559108E-003  0.706504E-003  0.322827E-003  0.417901E-003  0.528070E-003
  39.50  0.462170E-003  0.538233E-003  0.709434E-003  0.352116E-003  0.410066E-003  0.540500E-003
  40.00  0.490254E-003  0.516362E-003  0.712024E-003  0.380686E-003  0.400960E-003  0.552893E-003
  40.50  0.516134E-003  0.493764E-003  0.714281E-003  0.408442E-003  0.390740E-003  0.565246E-003
  41.00  0.539805E-003  0.470709E-003  0.716210E-003  0.435301E-003  0.379582E-003  0.577555E-003
  41.50  0.561284E-003  0.447466E-003  0.717819E-003  0.461197E-003  0.367675E-003  0.589820E-003
  42.00  0.580603E-003  0.424299E-003  0.719117E-003  0.486074E-003  0.355219E-003  0.602037E-003
  42.50  0.597811E-003  0.401475E-003  0.720111E-003  0.509892E-003  0.342431E-003  0.614206E-003
  43.00  0.612970E-003  0.379259E-003  0.720811E-003  0.532622E-003  0.329546E-003  0.626328E-003
  43.50  0.626150E-003  0.357918E-003  0.721227E-003  0.554245E-003  0.316816E-003  0.638404E-003
  44.00  0.637430E-003  0.337725E-003  0.721370E-003  0.574750E-003  0.304516E-003  0.650436E-003
  44.50  0.646889E-003  0.318963E-003  0.721251E-003  0.594131E-003  0.292950E-003  0.662428E-003
  45.00  0.654605E-003  0.301932E-003  0.720882E-003  0.612384E-003  0.282457E-003  0.674386E-003
  45.50  0.660645E-003  0.286959E-003  0.720276E-003  0.629496E-003  0.273429E-003  0.686315E-003
  46.00  0.665057E-003  0.274415E-003  0.719447E-003  0.645439E-003  0.266320E-003  0.698225E-003
  46.50  0.667854E-003  0.264739E-003  0.718411E-003  0.660150E-003  0.261685E-003  0.710125E-003
  47.00  0.668990E-003  0.258468E-003  0.717184E-003  0.673508E-003  0.260214E-003  0.722028E-003
  47.50  0.668319E-003  0.256308E-003  0.715782E-003  0.685280E-003  0.262813E-003  0.733948E-003
  48.00  0.665516E-003  0.259242E-003  0.714226E-003  0.695034E-003  0.270740E-003  0.745903E-003
  48.50  0.659906E-003  0.268755E-003  0.712534E-003  0.701934E-003  0.285872E-003  0.757914E-003
  49.00  0.650042E-003  0.287370E-003  0.710730E-003  0.704256E-003  0.311337E-003  0.770005E-003
  49.50  0.632365E-003  0.320256E-003  0.708836E-003  0.697816E-003  0.353403E-003  0.782203E-003
  50.00  0.593758E-003  0.383578E-003  0.706881E-003  0.667390E-003  0.431145E-003  0.794541E-003
  50.50  0.411431E-003  0.387462E-003  0.565157E-003  0.471064E-003  0.443620E-003  0.647070E-003
  51.00  0.360900E-003  0.305445E-003  0.472806E-003  0.420920E-003  0.356242E-003  0.551437E-003
  51.50  0.331842E-003  0.252330E-003  0.416881E-003  0.394271E-003  0.299801E-003  0.495308E-003
  52.00  0.309890E-003  0.211396E-003  0.375127E-003  0.375099E-003  0.255880E-003  0.454064E-003
  52.50  0.291418E-003  0.177859E-003  0.341406E-003  0.359382E-003  0.219340E-003  0.421029E-003
  53.00  0.274965E-003  0.149527E-003  0.312992E-003  0.345501E-003  0.187885E-003  0.393283E-003
  53.50  0.259820E-003  0.125170E-003  0.288399E-003  0.332666E-003  0.160264E-003  0.369257E-003
  54.00  0.245602E-003  0.104009E-003  0.266718E-003  0.320454E-003  0.135708E-003  0.348005E-003
  54.50  0.232094E-003  0.855103E-004  0.247345E-003  0.308628E-003  0.113708E-003  0.328908E-003
  55.00  0.219170E-003  0.692816E-004  0.229859E-003  0.297051E-003  0.939007E-004  0.311540E-003
  55.50  0.206755E-003  0.550235E-004  0.213952E-003  0.285649E-003  0.760193E-004  0.295591E-003
  56.00  0.194808E-003  0.424975E-004  0.199389E-003  0.274381E-003  0.598565E-004  0.280834E-003
  56.50  0.183303E-003  0.315072E-004  0.185991E-003  0.263234E-003  0.452462E-004  0.267094E-003
  57.00  0.172227E-003  0.218875E-004  0.173612E-003  0.252205E-003  0.320515E-004  0.254233E-003
  57.50  0.161575E-003  0.134963E-004  0.162137E-003  0.241303E-003  0.201560E-004  0.242144E-003
  58.00  0.151342E-003  0.620935E-005  0.151470E-003  0.230543E-003  0.945883E-005  0.230737E-003
  58.50  0.141530E-003 -0.832937E-007  0.141530E-003  0.219941E-003 -0.129441E-006  0.219941E-003
  59.00  0.132136E-003 -0.548009E-005  0.132250E-003  0.209517E-003 -0.868930E-005  0.209697E-003
