 % the field is uss
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
   5.00 -0.365589E-003  0.494118E-005  0.365623E-003  0.251593E-002  0.106156E-002  0.273071E-002
   5.50 -0.156429E-003 -0.132124E-003  0.204760E-003  0.256726E-002  0.121343E-002  0.283959E-002
   6.00 -0.356982E-003  0.101082E-003  0.371017E-003  0.298629E-002  0.102850E-002  0.315844E-002
   6.50 -0.419903E-003 -0.219363E-003  0.473749E-003  0.325385E-002  0.131571E-002  0.350979E-002
   7.00 -0.286925E-003  0.475473E-004  0.290838E-003  0.338006E-002  0.106963E-002  0.354527E-002
   7.50 -0.688987E-003 -0.112736E-003  0.698149E-003  0.392060E-002  0.120133E-002  0.410052E-002
   8.00 -0.360854E-003 -0.167267E-003  0.397736E-003  0.386494E-002  0.120263E-002  0.404773E-002
   8.50 -0.758349E-003  0.758230E-004  0.762130E-003  0.438619E-002  0.970661E-003  0.449231E-002
   9.00 -0.692677E-003 -0.305233E-003  0.756947E-003  0.453435E-002  0.123192E-002  0.469872E-002
   9.50 -0.678068E-003  0.583477E-004  0.680574E-003  0.468676E-002  0.877225E-003  0.476815E-002
  10.00 -0.103730E-002 -0.142698E-003  0.104707E-002  0.517698E-002  0.971695E-003  0.526738E-002
  10.50 -0.812948E-003 -0.186557E-003  0.834079E-003  0.513067E-002  0.949908E-003  0.521787E-002
  11.00 -0.106553E-002  0.782466E-004  0.106840E-002  0.550721E-002  0.633492E-003  0.554352E-002
  11.50 -0.125276E-002 -0.216692E-003  0.127136E-002  0.579684E-002  0.818772E-003  0.585438E-002
  12.00 -0.103456E-002 -0.655862E-004  0.103663E-002  0.574016E-002  0.589425E-003  0.577034E-002
  12.50 -0.146462E-002  0.994112E-004  0.146799E-002  0.623006E-002  0.372447E-003  0.624118E-002
  13.00 -0.145160E-002 -0.252651E-003  0.147342E-002  0.631401E-002  0.577918E-003  0.634040E-002
  13.50 -0.132885E-002  0.109981E-003  0.133339E-002  0.631985E-002  0.172492E-003  0.632220E-002
  14.00 -0.186179E-002  0.856190E-004  0.186375E-002  0.685023E-002  0.114702E-003  0.685119E-002
  14.50 -0.163970E-002 -0.204291E-003  0.165238E-002  0.674291E-002  0.251675E-003  0.674761E-002
  15.00 -0.170704E-002  0.283125E-003  0.173036E-002  0.686918E-002 -0.235103E-003  0.687320E-002
  15.50 -0.218524E-002  0.718532E-004  0.218643E-002  0.733006E-002 -0.163771E-003  0.733189E-002
  16.00 -0.191955E-002 -0.515903E-004  0.192024E-002  0.716282E-002 -0.126964E-003  0.716394E-002
  16.50 -0.206015E-002  0.343248E-003  0.208855E-002  0.730918E-002 -0.567277E-003  0.733116E-002
  17.00 -0.247630E-002  0.230351E-003  0.248699E-002  0.772048E-002 -0.539079E-003  0.773927E-002
  17.50 -0.232831E-002  0.132290E-004  0.232835E-002  0.759219E-002 -0.435685E-003  0.760468E-002
  18.00 -0.228339E-002  0.433746E-003  0.232422E-002  0.759718E-002 -0.880698E-003  0.764805E-002
  18.50 -0.285030E-002  0.453164E-003  0.288610E-002  0.808164E-002 -0.947799E-003  0.813703E-002
  19.00 -0.273673E-002  0.676716E-004  0.273757E-002  0.798529E-002 -0.702463E-003  0.801612E-002
  19.50 -0.253727E-002  0.497936E-003  0.258567E-002  0.782711E-002 -0.112760E-002  0.790791E-002
  20.00 -0.313198E-002  0.695424E-003  0.320825E-002  0.832034E-002 -0.134422E-002  0.842822E-002
  20.50 -0.322816E-002  0.230349E-003  0.323637E-002  0.838853E-002 -0.101180E-002  0.844933E-002
  21.00 -0.287423E-002  0.451044E-003  0.290941E-002  0.807988E-002 -0.123668E-002  0.817398E-002
