 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.634349E+002  0.223607E+001  0.100000E+001  0.000000E+000  0.274525E-002  0.232115E-002  0.359501E-002 -0.142100E-002 -0.909493E-003  0.168713E-002
  0.611892E+002  0.228254E+001  0.110000E+001  0.000000E+000 -0.183928E-002  0.350657E-002  0.395967E-002  0.772626E-003 -0.185579E-002  0.201020E-002
  0.590362E+002  0.233238E+001  0.120000E+001  0.000000E+000 -0.390395E-002 -0.141796E-002  0.415348E-002  0.216861E-002  0.684442E-003  0.227405E-002
  0.569761E+002  0.238537E+001  0.130000E+001  0.000000E+000  0.120877E-002 -0.394531E-002  0.412633E-002 -0.723674E-003  0.232719E-002  0.243711E-002
  0.550080E+002  0.244131E+001  0.140000E+001  0.000000E+000  0.366303E-002  0.127174E-002  0.387752E-002 -0.229937E-002 -0.920507E-003  0.247678E-002
  0.531301E+002  0.250000E+001  0.150000E+001  0.000000E+000 -0.157227E-002  0.311655E-002  0.349069E-002  0.123469E-002 -0.206654E-002  0.240729E-002
  0.513402E+002  0.256125E+001  0.160000E+001  0.000000E+000 -0.241637E-002 -0.201368E-002  0.314543E-002  0.166600E-002  0.156225E-002  0.228390E-002
  0.496355E+002  0.262488E+001  0.170000E+001  0.000000E+000  0.251965E-002 -0.173281E-002  0.305799E-002 -0.180197E-002  0.123735E-002  0.218589E-002
  0.480128E+002  0.269072E+001  0.180000E+001  0.000000E+000  0.122995E-002  0.314520E-002  0.337713E-002 -0.100478E-002 -0.198868E-002  0.222809E-002
  0.464688E+002  0.275862E+001  0.190000E+001  0.000000E+000 -0.412359E-002  0.886009E-003  0.421770E-002  0.241982E-002 -0.110998E-002  0.266225E-002
  0.450000E+002  0.282843E+001  0.200000E+001  0.000000E+000 -0.266773E-003 -0.570560E-002  0.571184E-002  0.129360E-002  0.359392E-002  0.381964E-002
  0.436028E+002  0.290000E+001  0.210000E+001  0.000000E+000  0.772201E-002  0.151243E-002  0.786873E-002 -0.577174E-002  0.640331E-003  0.580715E-002
  0.422737E+002  0.297321E+001  0.220000E+001  0.000000E+000 -0.532415E-002  0.907760E-002  0.105238E-001  0.217220E-002 -0.823034E-002  0.851216E-002
  0.410091E+002  0.304795E+001  0.230000E+001  0.000000E+000 -0.773902E-002 -0.110076E-001  0.134559E-001  0.880059E-002  0.778143E-002  0.117474E-001
  0.398056E+002  0.312410E+001  0.240000E+001  0.000000E+000  0.163755E-001 -0.180707E-002  0.164749E-001 -0.145840E-001  0.463348E-002  0.153023E-001
  0.386598E+002  0.320156E+001  0.250000E+001  0.000000E+000 -0.845553E-002  0.174334E-001  0.193758E-001  0.540144E-002 -0.181467E-001  0.189336E-001
  0.375686E+002  0.328024E+001  0.260000E+001  0.000000E+000 -0.106819E-001 -0.190596E-001  0.218488E-001  0.132682E-001  0.179755E-001  0.223420E-001
