 % x, z, xRe, zRe, psi, R, h
  0.100000E+001  0.000000E+000  0.100000E+001  0.000000E+000  0.634349E+002  0.223607E+001  0.100000E+001
  0.110000E+001  0.000000E+000  0.110000E+001  0.000000E+000  0.611892E+002  0.228254E+001  0.100000E+001
  0.120000E+001  0.000000E+000  0.120000E+001 -0.222045E-015  0.590362E+002  0.233238E+001  0.100000E+001
  0.130000E+001  0.000000E+000  0.130000E+001  0.000000E+000  0.569761E+002  0.238537E+001  0.100000E+001
  0.140000E+001  0.000000E+000  0.140000E+001  0.000000E+000  0.550080E+002  0.244131E+001  0.100000E+001
  0.150000E+001  0.000000E+000  0.150000E+001  0.000000E+000  0.531301E+002  0.250000E+001  0.100000E+001
  0.160000E+001  0.000000E+000  0.160000E+001  0.444089E-015  0.513402E+002  0.256125E+001  0.100000E+001
  0.170000E+001  0.000000E+000  0.170000E+001  0.000000E+000  0.496355E+002  0.262488E+001  0.100000E+001
  0.180000E+001  0.000000E+000  0.180000E+001  0.000000E+000  0.480128E+002  0.269072E+001  0.100000E+001
  0.190000E+001  0.000000E+000  0.190000E+001 -0.222045E-015  0.464688E+002  0.275862E+001  0.100000E+001
  0.200000E+001  0.000000E+000  0.200000E+001  0.444089E-015  0.450000E+002  0.282843E+001  0.100000E+001
  0.210000E+001  0.000000E+000  0.210000E+001 -0.222045E-015  0.436028E+002  0.290000E+001  0.100000E+001
  0.220000E+001  0.000000E+000  0.220000E+001  0.000000E+000  0.422737E+002  0.297321E+001  0.100000E+001
  0.230000E+001  0.000000E+000  0.230000E+001  0.000000E+000  0.410091E+002  0.304795E+001  0.100000E+001
  0.240000E+001  0.000000E+000  0.240000E+001  0.000000E+000  0.398056E+002  0.312410E+001  0.100000E+001
  0.250000E+001  0.000000E+000  0.250000E+001 -0.222045E-015  0.386598E+002  0.320156E+001  0.100000E+001
  0.260000E+001  0.000000E+000  0.260000E+001  0.000000E+000  0.375686E+002  0.328024E+001  0.100000E+001
  0.270000E+001  0.000000E+000  0.270000E+001  0.000000E+000  0.365289E+002  0.336006E+001  0.100000E+001
  0.280000E+001  0.000000E+000  0.280000E+001 -0.222045E-015  0.355377E+002  0.344093E+001  0.100000E+001
  0.290000E+001  0.000000E+000  0.290000E+001  0.444089E-015  0.345923E+002  0.352278E+001  0.100000E+001
  0.300000E+001  0.000000E+000  0.300000E+001  0.000000E+000  0.336901E+002  0.360555E+001  0.100000E+001
  0.310000E+001  0.000000E+000  0.310000E+001  0.000000E+000  0.328285E+002  0.368917E+001  0.100000E+001
  0.320000E+001  0.000000E+000  0.320000E+001  0.000000E+000  0.320054E+002  0.377359E+001  0.100000E+001
  0.330000E+001  0.000000E+000  0.330000E+001 -0.222045E-015  0.312184E+002  0.385876E+001  0.100000E+001
  0.340000E+001  0.000000E+000  0.340000E+001 -0.444089E-015  0.304655E+002  0.394462E+001  0.100000E+001
  0.350000E+001  0.000000E+000  0.350000E+001  0.000000E+000  0.297449E+002  0.403113E+001  0.100000E+001
  0.360000E+001  0.000000E+000  0.360000E+001  0.000000E+000  0.290546E+002  0.411825E+001  0.100000E+001
  0.370000E+001  0.000000E+000  0.370000E+001  0.000000E+000  0.283930E+002  0.420595E+001  0.100000E+001
  0.380000E+001  0.000000E+000  0.380000E+001  0.000000E+000  0.277585E+002  0.429418E+001  0.100000E+001
  0.390000E+001  0.000000E+000  0.390000E+001  0.000000E+000  0.271497E+002  0.438292E+001  0.100000E+001
  0.400000E+001  0.000000E+000  0.400000E+001  0.000000E+000  0.265651E+002  0.447214E+001  0.100000E+001
  0.410000E+001  0.000000E+000  0.410000E+001  0.444089E-015  0.260033E+002  0.456180E+001  0.100000E+001
  0.420000E+001  0.000000E+000  0.420000E+001 -0.222045E-015  0.254633E+002  0.465188E+001  0.100000E+001
  0.430000E+001  0.000000E+000  0.430000E+001  0.000000E+000  0.249439E+002  0.474236E+001  0.100000E+001
  0.440000E+001  0.000000E+000  0.440000E+001 -0.222045E-015  0.244440E+002  0.483322E+001  0.100000E+001
  0.450000E+001  0.000000E+000  0.450000E+001 -0.222045E-015  0.239625E+002  0.492443E+001  0.100000E+001
  0.460000E+001  0.000000E+000  0.460000E+001  0.000000E+000  0.234986E+002  0.501597E+001  0.100000E+001
  0.470000E+001  0.000000E+000  0.470000E+001  0.000000E+000  0.230513E+002  0.510784E+001  0.100000E+001
  0.480000E+001  0.000000E+000  0.480000E+001  0.000000E+000  0.226199E+002  0.520000E+001  0.100000E+001
  0.490000E+001  0.000000E+000  0.490000E+001  0.000000E+000  0.222035E+002  0.529245E+001  0.100000E+001
  0.500000E+001  0.000000E+000  0.500000E+001 -0.222045E-015  0.218014E+002  0.538516E+001  0.100000E+001
  0.510000E+001  0.000000E+000  0.510000E+001 -0.222045E-015  0.214130E+002  0.547814E+001  0.100000E+001
  0.520000E+001  0.000000E+000  0.520000E+001  0.000000E+000  0.210375E+002  0.557136E+001  0.100000E+001
  0.530000E+001  0.000000E+000  0.530000E+001  0.444089E-015  0.206744E+002  0.566480E+001  0.100000E+001
  0.540000E+001  0.000000E+000  0.540000E+001  0.000000E+000  0.203231E+002  0.575847E+001  0.100000E+001
  0.550000E+001  0.000000E+000  0.550000E+001  0.444089E-015  0.199831E+002  0.585235E+001  0.100000E+001
  0.560000E+001  0.000000E+000  0.560000E+001  0.000000E+000  0.196538E+002  0.594643E+001  0.100000E+001
  0.570000E+001  0.000000E+000  0.570000E+001  0.000000E+000  0.193348E+002  0.604070E+001  0.100000E+001
  0.580000E+001  0.000000E+000  0.580000E+001 -0.222045E-015  0.190256E+002  0.613514E+001  0.100000E+001
  0.590000E+001  0.000000E+000  0.590000E+001 -0.444089E-015  0.187258E+002  0.622977E+001  0.100000E+001
  0.600000E+001  0.000000E+000  0.600000E+001  0.000000E+000  0.184349E+002  0.632456E+001  0.100000E+001
  0.610000E+001  0.000000E+000  0.610000E+001  0.444089E-015  0.181527E+002  0.641950E+001  0.100000E+001
  0.620000E+001  0.000000E+000  0.620000E+001  0.444089E-015  0.178787E+002  0.651460E+001  0.100000E+001
  0.630000E+001  0.000000E+000  0.630000E+001  0.000000E+000  0.176126E+002  0.660984E+001  0.100000E+001
  0.640000E+001  0.000000E+000  0.640000E+001  0.444089E-015  0.173540E+002  0.670522E+001  0.100000E+001
  0.650000E+001  0.000000E+000  0.650000E+001  0.000000E+000  0.171027E+002  0.680074E+001  0.100000E+001
  0.660000E+001  0.000000E+000  0.660000E+001 -0.222045E-015  0.168584E+002  0.689638E+001  0.100000E+001
  0.670000E+001  0.000000E+000  0.670000E+001 -0.444089E-015  0.166208E+002  0.699214E+001  0.100000E+001
  0.680000E+001  0.000000E+000  0.680000E+001 -0.222045E-015  0.163895E+002  0.708802E+001  0.100000E+001
  0.690000E+001  0.000000E+000  0.690000E+001  0.000000E+000  0.161645E+002  0.718401E+001  0.100000E+001
  0.700000E+001  0.000000E+000  0.700000E+001  0.000000E+000  0.159454E+002  0.728011E+001  0.100000E+001
  0.710000E+001  0.000000E+000  0.710000E+001  0.000000E+000  0.157320E+002  0.737631E+001  0.100000E+001
  0.720000E+001  0.000000E+000  0.720000E+001  0.000000E+000  0.155241E+002  0.747262E+001  0.100000E+001
  0.730000E+001  0.000000E+000  0.730000E+001  0.000000E+000  0.153215E+002  0.756902E+001  0.100000E+001
  0.740000E+001  0.000000E+000  0.740000E+001  0.000000E+000  0.151240E+002  0.766551E+001  0.100000E+001
  0.750000E+001  0.000000E+000  0.750000E+001  0.000000E+000  0.149314E+002  0.776209E+001  0.100000E+001
  0.760000E+001  0.000000E+000  0.760000E+001  0.444089E-015  0.147436E+002  0.785875E+001  0.100000E+001
  0.770000E+001  0.000000E+000  0.770000E+001 -0.444089E-015  0.145603E+002  0.795550E+001  0.100000E+001
  0.780000E+001  0.000000E+000  0.780000E+001 -0.222045E-015  0.143814E+002  0.805233E+001  0.100000E+001
  0.790000E+001  0.000000E+000  0.790000E+001 -0.222045E-015  0.142068E+002  0.814923E+001  0.100000E+001
  0.800000E+001  0.000000E+000  0.800000E+001 -0.222045E-015  0.140362E+002  0.824621E+001  0.100000E+001
  0.810000E+001  0.000000E+000  0.810000E+001 -0.222045E-015  0.138697E+002  0.834326E+001  0.100000E+001
  0.820000E+001  0.000000E+000  0.820000E+001  0.000000E+000  0.137070E+002  0.844038E+001  0.100000E+001
  0.830000E+001  0.000000E+000  0.830000E+001  0.000000E+000  0.135479E+002  0.853756E+001  0.100000E+001
  0.840000E+001  0.000000E+000  0.840000E+001 -0.222045E-015  0.133925E+002  0.863481E+001  0.100000E+001
  0.850000E+001  0.000000E+000  0.850000E+001  0.000000E+000  0.132405E+002  0.873212E+001  0.100000E+001
  0.860000E+001  0.000000E+000  0.860000E+001 -0.444089E-015  0.130919E+002  0.882950E+001  0.100000E+001
  0.870000E+001  0.000000E+000  0.870000E+001  0.000000E+000  0.129465E+002  0.892693E+001  0.100000E+001
  0.880000E+001  0.000000E+000  0.880000E+001 -0.222045E-015  0.128043E+002  0.902441E+001  0.100000E+001
  0.890000E+001  0.000000E+000  0.890000E+001  0.000000E+000  0.126651E+002  0.912195E+001  0.100000E+001
  0.900000E+001  0.000000E+000  0.900000E+001  0.000000E+000  0.125288E+002  0.921954E+001  0.100000E+001
  0.910000E+001  0.000000E+000  0.910000E+001  0.000000E+000  0.123954E+002  0.931719E+001  0.100000E+001
  0.920000E+001  0.000000E+000  0.920000E+001  0.000000E+000  0.122648E+002  0.941488E+001  0.100000E+001
  0.930000E+001  0.000000E+000  0.930000E+001  0.000000E+000  0.121368E+002  0.951262E+001  0.100000E+001
  0.940000E+001  0.000000E+000  0.940000E+001  0.444089E-015  0.120115E+002  0.961041E+001  0.100000E+001
  0.950000E+001  0.000000E+000  0.950000E+001 -0.222045E-015  0.118887E+002  0.970824E+001  0.100000E+001
  0.960000E+001  0.000000E+000  0.960000E+001 -0.444089E-015  0.117683E+002  0.980612E+001  0.100000E+001
  0.970000E+001  0.000000E+000  0.970000E+001  0.444089E-015  0.116503E+002  0.990404E+001  0.100000E+001
  0.980000E+001  0.000000E+000  0.980000E+001  0.000000E+000  0.115346E+002  0.100020E+002  0.100000E+001
  0.990000E+001  0.000000E+000  0.990000E+001 -0.222045E-015  0.114212E+002  0.101000E+002  0.100000E+001
  0.100000E+002  0.000000E+000  0.100000E+002  0.000000E+000  0.113099E+002  0.101980E+002  0.100000E+001
  0.101000E+002  0.000000E+000  0.101000E+002  0.000000E+000  0.112008E+002  0.102961E+002  0.100000E+001
  0.102000E+002  0.000000E+000  0.102000E+002 -0.222045E-015  0.110937E+002  0.103942E+002  0.100000E+001
  0.103000E+002  0.000000E+000  0.103000E+002  0.000000E+000  0.109887E+002  0.104924E+002  0.100000E+001
  0.104000E+002  0.000000E+000  0.104000E+002  0.000000E+000  0.108855E+002  0.105906E+002  0.100000E+001
  0.105000E+002  0.000000E+000  0.105000E+002 -0.444089E-015  0.107843E+002  0.106888E+002  0.100000E+001
  0.106000E+002  0.000000E+000  0.106000E+002  0.000000E+000  0.106849E+002  0.107870E+002  0.100000E+001
  0.107000E+002  0.000000E+000  0.107000E+002  0.444089E-015  0.105873E+002  0.108853E+002  0.100000E+001
  0.108000E+002  0.000000E+000  0.108000E+002  0.444089E-015  0.104915E+002  0.109836E+002  0.100000E+001
  0.109000E+002  0.000000E+000  0.109000E+002  0.000000E+000  0.103973E+002  0.110820E+002  0.100000E+001
  0.110000E+002  0.000000E+000  0.110000E+002  0.444089E-015  0.103048E+002  0.111803E+002  0.100000E+001
  0.111000E+002  0.000000E+000  0.111000E+002 -0.222045E-015  0.102140E+002  0.112787E+002  0.100000E+001
  0.112000E+002  0.000000E+000  0.112000E+002  0.000000E+000  0.101247E+002  0.113772E+002  0.100000E+001
  0.113000E+002  0.000000E+000  0.113000E+002  0.444089E-015  0.100369E+002  0.114756E+002  0.100000E+001
  0.114000E+002  0.000000E+000  0.114000E+002 -0.222045E-015  0.995063E+001  0.115741E+002  0.100000E+001
  0.115000E+002  0.000000E+000  0.115000E+002 -0.444089E-015  0.986581E+001  0.116726E+002  0.100000E+001
  0.116000E+002  0.000000E+000  0.116000E+002  0.000000E+000  0.978241E+001  0.117712E+002  0.100000E+001
  0.117000E+002  0.000000E+000  0.117000E+002  0.000000E+000  0.970039E+001  0.118697E+002  0.100000E+001
  0.118000E+002  0.000000E+000  0.118000E+002 -0.222045E-015  0.961973E+001  0.119683E+002  0.100000E+001
  0.119000E+002  0.000000E+000  0.119000E+002 -0.222045E-015  0.954038E+001  0.120669E+002  0.100000E+001
  0.120000E+002  0.000000E+000  0.120000E+002 -0.444089E-015  0.946232E+001  0.121655E+002  0.100000E+001
  0.121000E+002  0.000000E+000  0.121000E+002  0.000000E+000  0.938552E+001  0.122642E+002  0.100000E+001
  0.122000E+002  0.000000E+000  0.122000E+002 -0.444089E-015  0.930994E+001  0.123628E+002  0.100000E+001
  0.123000E+002  0.000000E+000  0.123000E+002 -0.222045E-015  0.923556E+001  0.124615E+002  0.100000E+001
  0.124000E+002  0.000000E+000  0.124000E+002  0.444089E-015  0.916235E+001  0.125603E+002  0.100000E+001
  0.125000E+002  0.000000E+000  0.125000E+002  0.444089E-015  0.909028E+001  0.126590E+002  0.100000E+001
  0.126000E+002  0.000000E+000  0.126000E+002  0.888178E-015  0.901932E+001  0.127577E+002  0.100000E+001
  0.127000E+002  0.000000E+000  0.127000E+002  0.444089E-015  0.894946E+001  0.128565E+002  0.100000E+001
  0.128000E+002  0.000000E+000  0.128000E+002  0.444089E-015  0.888066E+001  0.129553E+002  0.100000E+001
  0.129000E+002  0.000000E+000  0.129000E+002 -0.222045E-015  0.881290E+001  0.130541E+002  0.100000E+001
  0.130000E+002  0.000000E+000  0.130000E+002  0.000000E+000  0.874616E+001  0.131529E+002  0.100000E+001
  0.131000E+002  0.000000E+000  0.131000E+002 -0.444089E-015  0.868042E+001  0.132518E+002  0.100000E+001
  0.132000E+002  0.000000E+000  0.132000E+002 -0.222045E-015  0.861565E+001  0.133507E+002  0.100000E+001
  0.133000E+002  0.000000E+000  0.133000E+002  0.000000E+000  0.855183E+001  0.134495E+002  0.100000E+001
  0.134000E+002  0.000000E+000  0.134000E+002 -0.222045E-015  0.848894E+001  0.135484E+002  0.100000E+001
  0.135000E+002  0.000000E+000  0.135000E+002 -0.222045E-015  0.842697E+001  0.136473E+002  0.100000E+001
  0.136000E+002  0.000000E+000  0.136000E+002 -0.222045E-015  0.836589E+001  0.137463E+002  0.100000E+001
  0.137000E+002  0.000000E+000  0.137000E+002  0.000000E+000  0.830568E+001  0.138452E+002  0.100000E+001
  0.138000E+002  0.000000E+000  0.138000E+002  0.000000E+000  0.824632E+001  0.139442E+002  0.100000E+001
  0.139000E+002  0.000000E+000  0.139000E+002 -0.222045E-015  0.818780E+001  0.140431E+002  0.100000E+001
  0.140000E+002  0.000000E+000  0.140000E+002  0.000000E+000  0.813010E+001  0.141421E+002  0.100000E+001
  0.141000E+002  0.000000E+000  0.141000E+002 -0.666134E-015  0.807320E+001  0.142411E+002  0.100000E+001
  0.142000E+002  0.000000E+000  0.142000E+002  0.000000E+000  0.801709E+001  0.143402E+002  0.100000E+001
  0.143000E+002  0.000000E+000  0.143000E+002  0.000000E+000  0.796175E+001  0.144392E+002  0.100000E+001
  0.144000E+002  0.000000E+000  0.144000E+002  0.444089E-015  0.790716E+001  0.145382E+002  0.100000E+001
  0.145000E+002  0.000000E+000  0.145000E+002  0.444089E-015  0.785331E+001  0.146373E+002  0.100000E+001
  0.146000E+002  0.000000E+000  0.146000E+002 -0.222045E-015  0.780019E+001  0.147363E+002  0.100000E+001
  0.147000E+002  0.000000E+000  0.147000E+002 -0.222045E-015  0.774777E+001  0.148354E+002  0.100000E+001
  0.148000E+002  0.000000E+000  0.148000E+002  0.000000E+000  0.769605E+001  0.149345E+002  0.100000E+001
  0.149000E+002  0.000000E+000  0.149000E+002  0.000000E+000  0.764501E+001  0.150336E+002  0.100000E+001
  0.150000E+002  0.000000E+000  0.150000E+002  0.000000E+000  0.759464E+001  0.151327E+002  0.100000E+001
  0.151000E+002  0.000000E+000  0.151000E+002 -0.666134E-015  0.754493E+001  0.152319E+002  0.100000E+001
  0.152000E+002  0.000000E+000  0.152000E+002 -0.222045E-015  0.749586E+001  0.153310E+002  0.100000E+001
  0.153000E+002  0.000000E+000  0.153000E+002  0.000000E+000  0.744742E+001  0.154302E+002  0.100000E+001
  0.154000E+002  0.000000E+000  0.154000E+002  0.444089E-015  0.739959E+001  0.155293E+002  0.100000E+001
  0.155000E+002  0.000000E+000  0.155000E+002  0.444089E-015  0.735238E+001  0.156285E+002  0.100000E+001
  0.156000E+002  0.000000E+000  0.156000E+002 -0.444089E-015  0.730576E+001  0.157277E+002  0.100000E+001
  0.157000E+002  0.000000E+000  0.157000E+002  0.000000E+000  0.725972E+001  0.158269E+002  0.100000E+001
  0.158000E+002  0.000000E+000  0.158000E+002 -0.222045E-015  0.721426E+001  0.159261E+002  0.100000E+001
  0.159000E+002  0.000000E+000  0.159000E+002 -0.222045E-015  0.716936E+001  0.160253E+002  0.100000E+001
  0.160000E+002  0.000000E+000  0.160000E+002 -0.222045E-015  0.712502E+001  0.161245E+002  0.100000E+001
  0.161000E+002  0.000000E+000  0.161000E+002  0.000000E+000  0.708121E+001  0.162237E+002  0.100000E+001
  0.162000E+002  0.000000E+000  0.162000E+002  0.000000E+000  0.703794E+001  0.163230E+002  0.100000E+001
  0.163000E+002  0.000000E+000  0.163000E+002  0.000000E+000  0.699519E+001  0.164222E+002  0.100000E+001
  0.164000E+002  0.000000E+000  0.164000E+002  0.000000E+000  0.695296E+001  0.165215E+002  0.100000E+001
  0.165000E+002  0.000000E+000  0.165000E+002  0.000000E+000  0.691123E+001  0.166208E+002  0.100000E+001
  0.166000E+002  0.000000E+000  0.166000E+002  0.000000E+000  0.686999E+001  0.167200E+002  0.100000E+001
  0.167000E+002  0.000000E+000  0.167000E+002  0.444089E-015  0.682924E+001  0.168193E+002  0.100000E+001
  0.168000E+002  0.000000E+000  0.168000E+002  0.000000E+000  0.678897E+001  0.169186E+002  0.100000E+001
  0.169000E+002  0.000000E+000  0.169000E+002  0.000000E+000  0.674917E+001  0.170179E+002  0.100000E+001
  0.170000E+002  0.000000E+000  0.170000E+002  0.000000E+000  0.670984E+001  0.171172E+002  0.100000E+001
  0.171000E+002  0.000000E+000  0.171000E+002  0.444089E-015  0.667095E+001  0.172166E+002  0.100000E+001
  0.172000E+002  0.000000E+000  0.172000E+002  0.000000E+000  0.663251E+001  0.173159E+002  0.100000E+001
  0.173000E+002  0.000000E+000  0.173000E+002 -0.222045E-015  0.659452E+001  0.174152E+002  0.100000E+001
  0.174000E+002  0.000000E+000  0.174000E+002 -0.222045E-015  0.655695E+001  0.175146E+002  0.100000E+001
  0.175000E+002  0.000000E+000  0.175000E+002 -0.222045E-015  0.651980E+001  0.176139E+002  0.100000E+001
  0.176000E+002  0.000000E+000  0.176000E+002  0.000000E+000  0.648307E+001  0.177133E+002  0.100000E+001
  0.177000E+002  0.000000E+000  0.177000E+002 -0.222045E-015  0.644676E+001  0.178126E+002  0.100000E+001
  0.178000E+002  0.000000E+000  0.178000E+002  0.000000E+000  0.641084E+001  0.179120E+002  0.100000E+001
  0.179000E+002  0.000000E+000  0.179000E+002  0.000000E+000  0.637532E+001  0.180114E+002  0.100000E+001
  0.180000E+002  0.000000E+000  0.180000E+002  0.000000E+000  0.634019E+001  0.181108E+002  0.100000E+001
  0.181000E+002  0.000000E+000  0.181000E+002  0.444089E-015  0.630545E+001  0.182102E+002  0.100000E+001
  0.182000E+002  0.000000E+000  0.182000E+002  0.444089E-015  0.627108E+001  0.183096E+002  0.100000E+001
  0.183000E+002  0.000000E+000  0.183000E+002 -0.222045E-015  0.623708E+001  0.184090E+002  0.100000E+001
  0.184000E+002  0.000000E+000  0.184000E+002 -0.222045E-015  0.620345E+001  0.185084E+002  0.100000E+001
  0.185000E+002  0.000000E+000  0.185000E+002  0.000000E+000  0.617018E+001  0.186078E+002  0.100000E+001
  0.186000E+002  0.000000E+000  0.186000E+002  0.000000E+000  0.613726E+001  0.187072E+002  0.100000E+001
  0.187000E+002  0.000000E+000  0.187000E+002  0.444089E-015  0.610468E+001  0.188066E+002  0.100000E+001
  0.188000E+002  0.000000E+000  0.188000E+002  0.444089E-015  0.607246E+001  0.189061E+002  0.100000E+001
  0.189000E+002  0.000000E+000  0.189000E+002  0.444089E-015  0.604057E+001  0.190055E+002  0.100000E+001
  0.190000E+002  0.000000E+000  0.190000E+002 -0.222045E-015  0.600901E+001  0.191050E+002  0.100000E+001
  0.191000E+002  0.000000E+000  0.191000E+002 -0.222045E-015  0.597777E+001  0.192044E+002  0.100000E+001
  0.192000E+002  0.000000E+000  0.192000E+002  0.000000E+000  0.594686E+001  0.193039E+002  0.100000E+001
  0.193000E+002  0.000000E+000  0.193000E+002  0.000000E+000  0.591627E+001  0.194034E+002  0.100000E+001
  0.194000E+002  0.000000E+000  0.194000E+002  0.000000E+000  0.588599E+001  0.195028E+002  0.100000E+001
  0.195000E+002  0.000000E+000  0.195000E+002  0.000000E+000  0.585601E+001  0.196023E+002  0.100000E+001
  0.196000E+002  0.000000E+000  0.196000E+002  0.444089E-015  0.582634E+001  0.197018E+002  0.100000E+001
  0.197000E+002  0.000000E+000  0.197000E+002  0.444089E-015  0.579697E+001  0.198013E+002  0.100000E+001
  0.198000E+002  0.000000E+000  0.198000E+002  0.000000E+000  0.576789E+001  0.199008E+002  0.100000E+001
  0.199000E+002  0.000000E+000  0.199000E+002  0.000000E+000  0.573910E+001  0.200002E+002  0.100000E+001
  0.200000E+002  0.000000E+000  0.200000E+002  0.444089E-015  0.571059E+001  0.200998E+002  0.100000E+001
  0.201000E+002  0.000000E+000  0.201000E+002  0.000000E+000  0.568237E+001  0.201993E+002  0.100000E+001
  0.202000E+002  0.000000E+000  0.202000E+002  0.000000E+000  0.565442E+001  0.202988E+002  0.100000E+001
  0.203000E+002  0.000000E+000  0.203000E+002  0.000000E+000  0.562675E+001  0.203983E+002  0.100000E+001
  0.204000E+002  0.000000E+000  0.204000E+002  0.000000E+000  0.559934E+001  0.204978E+002  0.100000E+001
  0.205000E+002  0.000000E+000  0.205000E+002  0.000000E+000  0.557220E+001  0.205973E+002  0.100000E+001
  0.206000E+002  0.000000E+000  0.206000E+002  0.444089E-015  0.554532E+001  0.206969E+002  0.100000E+001
  0.207000E+002  0.000000E+000  0.207000E+002  0.000000E+000  0.551869E+001  0.207964E+002  0.100000E+001
  0.208000E+002  0.000000E+000  0.208000E+002  0.000000E+000  0.549232E+001  0.208959E+002  0.100000E+001
  0.209000E+002  0.000000E+000  0.209000E+002  0.000000E+000  0.546621E+001  0.209955E+002  0.100000E+001
  0.210000E+002  0.000000E+000  0.210000E+002  0.000000E+000  0.544033E+001  0.210950E+002  0.100000E+001
  0.211000E+002  0.000000E+000  0.211000E+002 -0.222045E-015  0.541470E+001  0.211946E+002  0.100000E+001
  0.212000E+002  0.000000E+000  0.212000E+002  0.000000E+000  0.538931E+001  0.212941E+002  0.100000E+001
  0.213000E+002  0.000000E+000  0.213000E+002 -0.222045E-015  0.536416E+001  0.213937E+002  0.100000E+001
  0.214000E+002  0.000000E+000  0.214000E+002  0.000000E+000  0.533924E+001  0.214933E+002  0.100000E+001
  0.215000E+002  0.000000E+000  0.215000E+002  0.000000E+000  0.531455E+001  0.215928E+002  0.100000E+001
  0.216000E+002  0.000000E+000  0.216000E+002  0.444089E-015  0.529008E+001  0.216924E+002  0.100000E+001
  0.217000E+002  0.000000E+000  0.217000E+002  0.444089E-015  0.526584E+001  0.217920E+002  0.100000E+001
  0.218000E+002  0.000000E+000  0.218000E+002  0.000000E+000  0.524182E+001  0.218916E+002  0.100000E+001
  0.219000E+002  0.000000E+000  0.219000E+002  0.000000E+000  0.521802E+001  0.219911E+002  0.100000E+001
  0.220000E+002  0.000000E+000  0.220000E+002  0.000000E+000  0.519443E+001  0.220907E+002  0.100000E+001
  0.221000E+002  0.000000E+000  0.221000E+002  0.444089E-015  0.517105E+001  0.221903E+002  0.100000E+001
  0.222000E+002  0.000000E+000  0.222000E+002 -0.222045E-015  0.514788E+001  0.222899E+002  0.100000E+001
  0.223000E+002  0.000000E+000  0.223000E+002  0.000000E+000  0.512492E+001  0.223895E+002  0.100000E+001
  0.224000E+002  0.000000E+000  0.224000E+002  0.000000E+000  0.510217E+001  0.224891E+002  0.100000E+001
  0.225000E+002  0.000000E+000  0.225000E+002  0.444089E-015  0.507961E+001  0.225887E+002  0.100000E+001
  0.226000E+002  0.000000E+000  0.226000E+002  0.000000E+000  0.505725E+001  0.226883E+002  0.100000E+001
  0.227000E+002  0.000000E+000  0.227000E+002 -0.222045E-015  0.503508E+001  0.227879E+002  0.100000E+001
  0.228000E+002  0.000000E+000  0.228000E+002 -0.444089E-015  0.501311E+001  0.228876E+002  0.100000E+001
  0.229000E+002  0.000000E+000  0.229000E+002  0.000000E+000  0.499133E+001  0.229872E+002  0.100000E+001
  0.230000E+002  0.000000E+000  0.230000E+002  0.444089E-015  0.496974E+001  0.230868E+002  0.100000E+001
  0.231000E+002  0.000000E+000  0.231000E+002  0.000000E+000  0.494833E+001  0.231864E+002  0.100000E+001
  0.232000E+002  0.000000E+000  0.232000E+002  0.000000E+000  0.492711E+001  0.232860E+002  0.100000E+001
  0.233000E+002  0.000000E+000  0.233000E+002 -0.444089E-015  0.490607E+001  0.233857E+002  0.100000E+001
  0.234000E+002  0.000000E+000  0.234000E+002 -0.222045E-015  0.488520E+001  0.234853E+002  0.100000E+001
  0.235000E+002  0.000000E+000  0.235000E+002 -0.222045E-015  0.486451E+001  0.235850E+002  0.100000E+001
