 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.449182E+003  0.700071E+001  0.100000E+000 -0.300000E+001 -0.241251E-004 -0.342240E-004  0.418725E-004  0.109495E-002 -0.985873E-004  0.109938E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.448363E+003  0.700286E+001  0.200000E+000 -0.300000E+001 -0.478277E-004 -0.685400E-004  0.835777E-004  0.109324E-002 -0.909641E-004  0.109702E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.447546E+003  0.700643E+001  0.300000E+000 -0.300000E+001 -0.706871E-004 -0.103033E-003  0.124950E-003  0.109028E-002 -0.783242E-004  0.109309E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.446730E+003  0.701142E+001  0.400000E+000 -0.300000E+001 -0.922868E-004 -0.137771E-003  0.165825E-003  0.108592E-002 -0.607679E-004  0.108762E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.445914E+003  0.701783E+001  0.500000E+000 -0.300000E+001 -0.112217E-003 -0.172803E-003  0.206043E-003  0.107996E-002 -0.384387E-004  0.108064E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.445101E+003  0.702567E+001  0.600000E+000 -0.300000E+001 -0.130077E-003 -0.208146E-003  0.245448E-003  0.107212E-002 -0.115267E-004  0.107219E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.444289E+003  0.703491E+001  0.700000E+000 -0.300000E+001 -0.145479E-003 -0.243784E-003  0.283892E-003  0.106211E-002  0.197271E-004  0.106230E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.443480E+003  0.704557E+001  0.800000E+000 -0.300000E+001 -0.158051E-003 -0.279659E-003  0.321231E-003  0.104958E-002  0.550267E-004  0.105103E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.442674E+003  0.705762E+001  0.900000E+000 -0.300000E+001 -0.167446E-003 -0.315670E-003  0.357331E-003  0.103416E-002  0.940179E-004  0.103843E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.441870E+003  0.707107E+001  0.100000E+001 -0.300000E+001 -0.173338E-003 -0.351666E-003  0.392065E-003  0.101547E-002  0.136282E-003  0.102457E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.441069E+003  0.708590E+001  0.110000E+001 -0.300000E+001 -0.175439E-003 -0.387448E-003  0.425317E-003  0.993101E-003  0.181336E-003  0.100952E-002  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.440272E+003  0.710211E+001  0.120000E+001 -0.300000E+001 -0.173496E-003 -0.422764E-003  0.456979E-003  0.966680E-003  0.228624E-003  0.993348E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.439479E+003  0.711969E+001  0.130000E+001 -0.300000E+001 -0.167304E-003 -0.457313E-003  0.486956E-003  0.935847E-003  0.277525E-003  0.976130E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.438690E+003  0.713863E+001  0.140000E+001 -0.300000E+001 -0.156712E-003 -0.490749E-003  0.515163E-003  0.900280E-003  0.327345E-003  0.957945E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.437905E+003  0.715891E+001  0.150000E+001 -0.300000E+001 -0.141626E-003 -0.522678E-003  0.541526E-003  0.859718E-003  0.377325E-003  0.938877E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.437125E+003  0.718053E+001  0.160000E+001 -0.300000E+001 -0.122022E-003 -0.552674E-003  0.565984E-003  0.813971E-003  0.426645E-003  0.919008E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.436350E+003  0.720347E+001  0.170000E+001 -0.300000E+001 -0.979474E-004 -0.580280E-003  0.588488E-003  0.762939E-003  0.474433E-003  0.898422E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.435579E+003  0.722772E+001  0.180000E+001 -0.300000E+001 -0.695267E-004 -0.605019E-003  0.609001E-003  0.706629E-003  0.519774E-003  0.877205E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.434814E+003  0.725328E+001  0.190000E+001 -0.300000E+001 -0.369687E-004 -0.626407E-003  0.627496E-003  0.645167E-003  0.561728E-003  0.855440E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.434055E+003  0.728011E+001  0.200000E+001 -0.300000E+001 -0.565841E-006 -0.643962E-003  0.643962E-003  0.578813E-003  0.599346E-003  0.833211E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.433301E+003  0.730821E+001  0.210000E+001 -0.300000E+001  0.393044E-004 -0.657223E-003  0.658397E-003  0.507973E-003  0.631692E-003  0.810599E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.432553E+003  0.733757E+001  0.220000E+001 -0.300000E+001  0.821813E-004 -0.665757E-003  0.670810E-003  0.433200E-003  0.657862E-003  0.787683E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.431811E+003  0.736817E+001  0.230000E+001 -0.300000E+001  0.127525E-003 -0.669182E-003  0.681224E-003  0.355201E-003  0.677018E-003  0.764540E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
