 % the field is ppp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.183000E+003  0.300000E+002 -0.299589E+002 -0.257008E+001  0.443319E-005  0.559014E-005  0.713463E-005  0.768458E-005  0.969006E-005  0.123673E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.183500E+003  0.300000E+002 -0.299440E+002 -0.283146E+001 -0.722667E-005  0.371770E-006  0.723623E-005 -0.125270E-004  0.644439E-006  0.125435E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184000E+003  0.300000E+002 -0.299269E+002 -0.309269E+001  0.386920E-005 -0.623939E-005  0.734171E-005  0.670706E-005 -0.108157E-004  0.127265E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184500E+003  0.300000E+002 -0.299075E+002 -0.335377E+001  0.305136E-005  0.679650E-005  0.745005E-005  0.528943E-005  0.117815E-004  0.129144E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185000E+003  0.300000E+002 -0.298858E+002 -0.361467E+001 -0.746784E-005 -0.119601E-005  0.756300E-005 -0.129454E-004 -0.207326E-005  0.131103E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185500E+003  0.300000E+002 -0.298619E+002 -0.387537E+001  0.510087E-005 -0.574002E-005  0.767898E-005  0.884237E-005 -0.995033E-005  0.133115E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186000E+003  0.300000E+002 -0.298357E+002 -0.413585E+001  0.222898E-005  0.747391E-005  0.779921E-005  0.386398E-005  0.129562E-004  0.135201E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186500E+003  0.300000E+002 -0.298072E+002 -0.439610E+001 -0.767515E-005 -0.196960E-005  0.792384E-005 -0.133052E-004 -0.341437E-005  0.137363E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187000E+003  0.300000E+002 -0.297764E+002 -0.465608E+001  0.565540E-005 -0.573213E-005  0.805238E-005  0.980396E-005 -0.993698E-005  0.139593E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187500E+003  0.300000E+002 -0.297433E+002 -0.491579E+001  0.224976E-005  0.787087E-005  0.818609E-005  0.390014E-005  0.136448E-004  0.141912E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.188000E+003  0.300000E+002 -0.297080E+002 -0.517519E+001 -0.812074E-005 -0.182809E-005  0.832396E-005 -0.140781E-004 -0.316918E-005  0.144304E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.188500E+003  0.300000E+002 -0.296705E+002 -0.543428E+001  0.550093E-005 -0.643622E-005  0.846671E-005  0.953653E-005 -0.111580E-004  0.146781E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.189000E+003  0.300000E+002 -0.296307E+002 -0.569303E+001  0.329114E-005  0.796097E-005  0.861444E-005  0.570566E-005  0.138015E-004  0.149344E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.189500E+003  0.300000E+002 -0.295886E+002 -0.595143E+001 -0.874929E-005 -0.571293E-006  0.876792E-005 -0.151683E-004 -0.990431E-006  0.152006E-004  0.110000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
