 % the field is pps
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.183000E+003  0.300000E+002 -0.299589E+002 -0.257008E+001 -0.363070E-004 -0.874212E-003  0.874965E-003 -0.194006E-005 -0.467135E-004  0.467538E-004  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.183500E+003  0.300000E+002 -0.299440E+002 -0.283146E+001 -0.304063E-004 -0.101586E-002  0.101631E-002 -0.189618E-005 -0.633503E-004  0.633786E-004  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184000E+003  0.300000E+002 -0.299269E+002 -0.309269E+001 -0.203102E-004 -0.115592E-002  0.115610E-002 -0.144806E-005 -0.824142E-004  0.824270E-004  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184500E+003  0.300000E+002 -0.299075E+002 -0.335377E+001 -0.574845E-005 -0.129422E-002  0.129423E-002 -0.461277E-006 -0.103853E-003  0.103854E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185000E+003  0.300000E+002 -0.298858E+002 -0.361467E+001  0.135389E-004 -0.143054E-002  0.143061E-002  0.120771E-005 -0.127608E-003  0.127614E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185500E+003  0.300000E+002 -0.298619E+002 -0.387537E+001  0.377944E-004 -0.156467E-002  0.156512E-002  0.371046E-005 -0.153611E-003  0.153655E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186000E+003  0.300000E+002 -0.298357E+002 -0.413585E+001  0.672485E-004 -0.169634E-002  0.169767E-002  0.720649E-005 -0.181783E-003  0.181926E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186500E+003  0.300000E+002 -0.298072E+002 -0.439610E+001  0.102113E-003 -0.182531E-002  0.182816E-002  0.118620E-004 -0.212039E-003  0.212370E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187000E+003  0.300000E+002 -0.297764E+002 -0.465608E+001  0.142577E-003 -0.195129E-002  0.195649E-002  0.178488E-004 -0.244276E-003  0.244927E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187500E+003  0.300000E+002 -0.297433E+002 -0.491579E+001  0.188813E-003 -0.207397E-002  0.208255E-002  0.253438E-004 -0.278383E-003  0.279534E-003  0.120000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
