 % the field is psp
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.183000E+003  0.300000E+002 -0.299589E+002 -0.257008E+001 -0.348744E-006 -0.152388E-005  0.156328E-005 -0.528796E-007 -0.231064E-006  0.237038E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.183500E+003  0.300000E+002 -0.299440E+002 -0.283146E+001  0.140649E-005  0.698585E-006  0.157043E-005  0.213264E-006  0.105925E-006  0.238121E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184000E+003  0.300000E+002 -0.299269E+002 -0.309269E+001 -0.142775E-005  0.671846E-006  0.157792E-005 -0.216486E-006  0.101871E-006  0.239257E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184500E+003  0.300000E+002 -0.299075E+002 -0.335377E+001  0.336020E-006 -0.154975E-005  0.158576E-005  0.509499E-007 -0.234985E-006  0.240445E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185000E+003  0.300000E+002 -0.298858E+002 -0.361467E+001  0.105249E-005  0.119704E-005  0.159394E-005  0.159586E-006  0.181504E-006  0.241685E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185500E+003  0.300000E+002 -0.298619E+002 -0.387537E+001 -0.159397E-005  0.164940E-006  0.160248E-005 -0.241689E-006  0.250094E-007  0.242980E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186000E+003  0.300000E+002 -0.298357E+002 -0.413585E+001  0.767475E-006 -0.141686E-005  0.161137E-005  0.116370E-006 -0.214834E-006  0.244327E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186500E+003  0.300000E+002 -0.298072E+002 -0.439610E+001  0.768503E-006  0.142683E-005  0.162063E-005  0.116525E-006  0.216345E-006  0.245730E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187000E+003  0.300000E+002 -0.297764E+002 -0.465608E+001 -0.162666E-005 -0.108158E-006  0.163025E-005 -0.246644E-006 -0.163996E-007  0.247188E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187500E+003  0.300000E+002 -0.297433E+002 -0.491579E+001  0.934782E-006 -0.134796E-005  0.164037E-005  0.141737E-006 -0.204385E-006  0.248722E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.188000E+003  0.300000E+002 -0.297080E+002 -0.517519E+001  0.711564E-006  0.148951E-005  0.165074E-005  0.107891E-006  0.225846E-006  0.250293E-006  0.210000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
