 % the field is pss
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.250000E+001  0.250000E+001  0.250000E+001  0.280000E+002  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.183000E+003  0.300000E+002 -0.299589E+002 -0.257008E+001 -0.168448E-003 -0.589631E-004  0.178470E-003 -0.126217E-003 -0.441807E-004  0.133726E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.183500E+003  0.300000E+002 -0.299440E+002 -0.283146E+001 -0.135713E-003 -0.120847E-003  0.181720E-003 -0.101688E-003 -0.905487E-004  0.136160E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184000E+003  0.300000E+002 -0.299269E+002 -0.309269E+001 -0.890330E-004 -0.162282E-003  0.185101E-003 -0.667100E-004 -0.121593E-003  0.138691E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.184500E+003  0.300000E+002 -0.299075E+002 -0.335377E+001 -0.393368E-004 -0.184455E-003  0.188603E-003 -0.294736E-004 -0.138205E-003  0.141313E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185000E+003  0.300000E+002 -0.298858E+002 -0.361467E+001  0.600873E-005 -0.192135E-003  0.192229E-003  0.450204E-005 -0.143957E-003  0.144028E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.185500E+003  0.300000E+002 -0.298619E+002 -0.387537E+001  0.431211E-004 -0.191196E-003  0.195998E-003  0.323079E-004 -0.143251E-003  0.146849E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186000E+003  0.300000E+002 -0.298357E+002 -0.413585E+001  0.706241E-004 -0.187008E-003  0.199899E-003  0.529134E-004 -0.140111E-003  0.149770E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.186500E+003  0.300000E+002 -0.298072E+002 -0.439610E+001  0.884501E-004 -0.183774E-003  0.203952E-003  0.662680E-004 -0.137686E-003  0.152803E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187000E+003  0.300000E+002 -0.297764E+002 -0.465608E+001  0.968216E-004 -0.184272E-003  0.208160E-003  0.725387E-004 -0.138057E-003  0.155954E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.187500E+003  0.300000E+002 -0.297433E+002 -0.491579E+001  0.955383E-004 -0.189845E-003  0.212529E-003  0.715759E-004 -0.142229E-003  0.159224E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.188000E+003  0.300000E+002 -0.297080E+002 -0.517519E+001  0.836228E-004 -0.200310E-003  0.217064E-003  0.626479E-004 -0.150067E-003  0.162618E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
  0.188500E+003  0.300000E+002 -0.296705E+002 -0.543428E+001  0.593701E-004 -0.213691E-003  0.221785E-003  0.444776E-004 -0.160088E-003  0.166152E-003  0.220000E+002  0.200000E+001  0.100000E+001  0.500000E+000  0.300000E+000  0.200000E+001  0.100000E+001  0.100000E+001  0.100000E+002
