% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  30.00  0.102019E-002 -0.465807E-003  0.112150E-002  0.586197E-003 -0.262498E-003  0.642287E-003
  30.50  0.105754E-002 -0.470569E-003  0.115750E-002  0.633514E-003 -0.284046E-003  0.694278E-003
  31.00  0.103536E-002 -0.441721E-003  0.112565E-002  0.614170E-003 -0.267141E-003  0.669753E-003
  31.50  0.108471E-002 -0.414181E-003  0.116109E-002  0.676641E-003 -0.252485E-003  0.722213E-003
  32.00  0.106148E-002 -0.410814E-003  0.113821E-002  0.657177E-003 -0.264776E-003  0.708511E-003
  32.50  0.110403E-002 -0.359863E-003  0.116120E-002  0.713479E-003 -0.223733E-003  0.747736E-003
  33.00  0.108572E-002 -0.368049E-003  0.114641E-002  0.700834E-003 -0.249333E-003  0.743865E-003
  33.50  0.112520E-002 -0.306894E-003  0.116630E-002  0.755151E-003 -0.196794E-003  0.780372E-003
  34.00  0.110124E-002 -0.314367E-003  0.114523E-002  0.737501E-003 -0.221533E-003  0.770055E-003
  34.50  0.115050E-002 -0.255992E-003  0.117863E-002  0.804362E-003 -0.172212E-003  0.822591E-003
  35.00  0.110912E-002 -0.244855E-003  0.113583E-002  0.768588E-003 -0.175477E-003  0.788365E-003
  35.50  0.117122E-002 -0.213813E-003  0.119058E-002  0.851257E-003 -0.157125E-003  0.865636E-003
  36.00  0.112600E-002 -0.154643E-003  0.113657E-002  0.813176E-003 -0.105446E-003  0.819984E-003
  36.50  0.116114E-002 -0.172349E-003  0.117386E-002  0.866207E-003 -0.141727E-003  0.877725E-003
  37.00  0.117390E-002 -0.742035E-004  0.117624E-002  0.896029E-003 -0.459219E-004  0.897205E-003
  37.50  0.112427E-002 -0.766610E-004  0.112688E-002  0.854553E-003 -0.631610E-004  0.856884E-003
  38.00  0.119215E-002 -0.520557E-004  0.119328E-002  0.947623E-003 -0.507970E-004  0.948984E-003
  38.50  0.116471E-002  0.553677E-004  0.116602E-002  0.934445E-003  0.573997E-004  0.936206E-003
  39.00  0.111456E-002  0.406318E-004  0.111530E-002  0.894516E-003  0.278475E-004  0.894949E-003
  39.50  0.118468E-002  0.627175E-004  0.118634E-002  0.992464E-003  0.389288E-004  0.993227E-003
  40.00  0.117785E-002  0.191016E-003  0.119324E-002  0.100554E-002  0.172568E-003  0.102024E-002
  40.50  0.108476E-002  0.223424E-003  0.110753E-002  0.919836E-003  0.199691E-003  0.941262E-003
  41.00  0.109756E-002  0.188657E-003  0.111366E-002  0.953845E-003  0.149624E-003  0.965509E-003
  41.50  0.117209E-002  0.267085E-003  0.120213E-002  0.106077E-002  0.227930E-003  0.108498E-002
  42.00  0.113712E-002  0.419290E-003  0.121196E-002  0.104557E-002  0.393425E-003  0.111714E-002
  42.50  0.101088E-002  0.482454E-003  0.112011E-002  0.925377E-003  0.461212E-003  0.103394E-002
  43.00  0.943750E-003  0.441505E-003  0.104192E-002  0.870260E-003  0.410894E-003  0.962385E-003
  43.50  0.991158E-003  0.423371E-003  0.107779E-002  0.946100E-003  0.385111E-003  0.102148E-002
  44.00  0.106839E-002  0.520880E-003  0.118860E-002  0.105932E-002  0.491515E-003  0.116780E-002
  44.50  0.106612E-002  0.710575E-003  0.128122E-002  0.108527E-002  0.707032E-003  0.129526E-002
  45.00  0.944927E-003  0.904221E-003  0.130786E-002  0.976142E-003  0.933380E-003  0.135057E-002
  45.50  0.738117E-003  0.102820E-002  0.126571E-002  0.766484E-003  0.108636E-002  0.132954E-002
  46.00  0.506242E-003  0.105802E-002  0.117289E-002  0.523072E-003  0.113592E-002  0.125057E-002
  46.50  0.298175E-003  0.100884E-002  0.105198E-002  0.301048E-003  0.109683E-002  0.113739E-002
  47.00  0.137615E-003  0.911675E-003  0.922003E-003  0.128074E-003  0.100236E-002  0.101051E-002
  47.50  0.274196E-004  0.795458E-003  0.795931E-003  0.860378E-005  0.884318E-003  0.884360E-003
  48.00 -0.406467E-004  0.679817E-003  0.681031E-003 -0.655295E-004  0.764577E-003  0.767380E-003
  48.50 -0.780222E-004  0.575023E-003  0.580292E-003 -0.106360E-003  0.654836E-003  0.663418E-003
  49.00 -0.950804E-004  0.484751E-003  0.493987E-003 -0.124991E-003  0.559517E-003  0.573308E-003
  49.50 -0.996639E-004  0.408972E-003  0.420941E-003 -0.129886E-003  0.478898E-003  0.496199E-003
  50.00 -0.971014E-004  0.346013E-003  0.359380E-003 -0.126828E-003  0.411385E-003  0.430491E-003
  50.50 -0.907630E-004  0.293740E-003  0.307443E-003 -0.119490E-003  0.354819E-003  0.374398E-003
  51.00 -0.826700E-004  0.250117E-003  0.263426E-003 -0.110085E-003  0.307109E-003  0.326243E-003
  51.50 -0.739820E-004  0.213421E-003  0.225880E-003 -0.998903E-004  0.266469E-003  0.284577E-003
  52.00 -0.653348E-004  0.182264E-003  0.193621E-003 -0.896124E-004  0.231466E-003  0.248207E-003
  52.50 -0.570572E-004  0.155565E-003  0.165699E-003 -0.796228E-004  0.200978E-003  0.216176E-003
  53.00 -0.493032E-004  0.132486E-003  0.141362E-003 -0.701011E-004  0.174142E-003  0.187722E-003
  53.50 -0.421293E-004  0.112378E-003  0.120016E-003 -0.611203E-004  0.150292E-003  0.162245E-003
  54.00 -0.355401E-004  0.947386E-004  0.101185E-003 -0.526953E-004  0.128912E-003  0.139267E-003
  54.50 -0.295134E-004  0.791720E-004  0.844941E-004 -0.448110E-004  0.109602E-003  0.118409E-003
  55.00 -0.240147E-004  0.653654E-004  0.696372E-004 -0.374378E-004  0.920444E-004  0.993668E-004
  55.50 -0.190047E-004  0.530680E-004  0.563684E-004 -0.305405E-004  0.759871E-004  0.818949E-004
  56.00 -0.144437E-004  0.420764E-004  0.444865E-004 -0.240825E-004  0.612273E-004  0.657932E-004
  56.50 -0.102937E-004  0.322239E-004  0.338281E-004 -0.180283E-004  0.475993E-004  0.508990E-004
  57.00 -0.651924E-005  0.233725E-004  0.242647E-004 -0.123450E-004  0.349670E-004  0.370822E-004
  57.50 -0.308777E-005  0.154066E-004  0.157130E-004 -0.700201E-005  0.232172E-004  0.242501E-004
  58.00  0.301583E-007  0.822875E-005  0.822881E-005 -0.197187E-005  0.122550E-004  0.124126E-004
  58.50  0.286116E-005  0.175589E-005  0.335699E-005  0.277028E-005  0.200003E-005  0.341680E-005
  59.00  0.542924E-005 -0.408322E-005  0.679333E-005  0.724678E-005 -0.761627E-005  0.105130E-004
  59.50  0.775601E-005 -0.935015E-005  0.121483E-004  0.114777E-004 -0.166528E-004  0.202251E-004
  60.00  0.986093E-005 -0.140985E-004  0.172048E-004  0.154811E-004 -0.251605E-004  0.295417E-004
  60.50  0.117616E-004 -0.183752E-004  0.218170E-004  0.192731E-004 -0.331838E-004  0.383746E-004
  61.00  0.134738E-004 -0.222215E-004  0.259873E-004  0.228683E-004 -0.407615E-004  0.467382E-004
