% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  30.00  0.102363E-002 -0.482507E-003  0.113165E-002  0.590992E-003 -0.278575E-003  0.653357E-003
  30.50  0.103642E-002 -0.463778E-003  0.113545E-002  0.610496E-003 -0.273186E-003  0.668832E-003
  31.00  0.104883E-002 -0.443983E-003  0.113893E-002  0.630199E-003 -0.266772E-003  0.684337E-003
  31.50  0.106082E-002 -0.423091E-003  0.114208E-002  0.650073E-003 -0.259271E-003  0.699869E-003
  32.00  0.107236E-002 -0.401073E-003  0.114491E-002  0.670087E-003 -0.250618E-003  0.715420E-003
  32.50  0.108340E-002 -0.377895E-003  0.114742E-002  0.690203E-003 -0.240746E-003  0.730984E-003
  33.00  0.109389E-002 -0.353526E-003  0.114959E-002  0.710378E-003 -0.229582E-003  0.746555E-003
  33.50  0.110376E-002 -0.327928E-003  0.115145E-002  0.730565E-003 -0.217051E-003  0.762126E-003
  34.00  0.111297E-002 -0.301067E-003  0.115297E-002  0.750708E-003 -0.203072E-003  0.777689E-003
  34.50  0.112144E-002 -0.272902E-003  0.115417E-002  0.770744E-003 -0.187560E-003  0.793237E-003
  35.00  0.112910E-002 -0.243395E-003  0.115503E-002  0.790601E-003 -0.170427E-003  0.808762E-003
  35.50  0.113585E-002 -0.212504E-003  0.115556E-002  0.810197E-003 -0.151578E-003  0.824254E-003
  36.00  0.114162E-002 -0.180187E-003  0.115576E-002  0.829439E-003 -0.130913E-003  0.839707E-003
  36.50  0.114630E-002 -0.146398E-003  0.115561E-002  0.848219E-003 -0.108329E-003  0.855108E-003
  37.00  0.114977E-002 -0.111092E-003  0.115513E-002  0.866415E-003 -0.837140E-004  0.870450E-003
  37.50  0.115190E-002 -0.742235E-004  0.115429E-002  0.883887E-003 -0.569537E-004  0.885720E-003
  38.00  0.115256E-002 -0.357441E-004  0.115311E-002  0.900475E-003 -0.279263E-004  0.900908E-003
  38.50  0.115156E-002  0.439379E-005  0.115157E-002  0.915994E-003  0.349498E-005  0.916000E-003
  39.00  0.114874E-002  0.462380E-004  0.114967E-002  0.930232E-003  0.374428E-004  0.930985E-003
  39.50  0.114388E-002  0.898354E-004  0.114741E-002  0.942945E-003  0.740546E-004  0.945849E-003
  40.00  0.113675E-002  0.135231E-003  0.114477E-002  0.953849E-003  0.113473E-003  0.960575E-003
  40.50  0.112708E-002  0.182468E-003  0.114175E-002  0.962614E-003  0.155842E-003  0.975147E-003
  41.00  0.111454E-002  0.231583E-003  0.113835E-002  0.968856E-003  0.201312E-003  0.989549E-003
  41.50  0.109879E-002  0.282605E-003  0.113455E-002  0.972123E-003  0.250028E-003  0.100376E-002
  42.00  0.107939E-002  0.335555E-003  0.113034E-002  0.971883E-003  0.302135E-003  0.101776E-002
  42.50  0.105584E-002  0.390436E-003  0.112572E-002  0.967502E-003  0.357768E-003  0.103153E-002
  43.00  0.102757E-002  0.447228E-003  0.112067E-002  0.958221E-003  0.417047E-003  0.104504E-002
  43.50  0.993841E-003  0.505880E-003  0.111518E-002  0.943120E-003  0.480062E-003  0.105827E-002
  44.00  0.953796E-003  0.566293E-003  0.110924E-002  0.921070E-003  0.546863E-003  0.107118E-002
  44.50  0.906349E-003  0.628299E-003  0.110283E-002  0.890667E-003  0.617427E-003  0.108375E-002
  45.00  0.850126E-003  0.691621E-003  0.109593E-002  0.850126E-003  0.691621E-003  0.109593E-002
  45.50  0.783328E-003  0.755819E-003  0.108852E-002  0.797120E-003  0.769127E-003  0.110768E-002
  46.00  0.703514E-003  0.820186E-003  0.108057E-002  0.728510E-003  0.849328E-003  0.111897E-002
  46.50  0.607193E-003  0.883548E-003  0.107207E-002  0.639848E-003  0.931065E-003  0.112973E-002
  47.00  0.488966E-003  0.943848E-003  0.106299E-002  0.524352E-003  0.101215E-002  0.113991E-002
  47.50  0.339403E-003  0.997094E-003  0.105328E-002  0.370393E-003  0.108814E-002  0.114945E-002
  48.00  0.137832E-003  0.103376E-002  0.104291E-002  0.153078E-003  0.114810E-002  0.115826E-002
  48.50 -0.201041E-003  0.101206E-002  0.103183E-002 -0.227236E-003  0.114392E-002  0.116627E-002
  49.00 -0.283932E-003  0.566775E-003  0.633918E-003 -0.326627E-003  0.652000E-003  0.729239E-003
  49.50 -0.216429E-003  0.432027E-003  0.483206E-003 -0.253405E-003  0.505838E-003  0.565762E-003
  50.00 -0.175150E-003  0.349628E-003  0.391047E-003 -0.208736E-003  0.416671E-003  0.466031E-003
  50.50 -0.145416E-003  0.290274E-003  0.324661E-003 -0.176404E-003  0.352130E-003  0.393845E-003
  51.00 -0.122379E-003  0.244288E-003  0.273228E-003 -0.151125E-003  0.301671E-003  0.337408E-003
  51.50 -0.103762E-003  0.207126E-003  0.231663E-003 -0.130447E-003  0.260393E-003  0.291241E-003
  52.00 -0.882955E-004  0.176252E-003  0.197132E-003 -0.113013E-003  0.225593E-003  0.252317E-003
  52.50 -0.751926E-004  0.150097E-003  0.167878E-003 -0.979928E-004  0.195610E-003  0.218782E-003
  53.00 -0.639303E-004  0.127615E-003  0.142733E-003 -0.848384E-004  0.169351E-003  0.189413E-003
  53.50 -0.541423E-004  0.108077E-003  0.120880E-003 -0.731692E-004  0.146058E-003  0.163360E-003
  54.00 -0.455617E-004  0.909485E-004  0.101723E-003 -0.627102E-004  0.125180E-003  0.140009E-003
  54.50 -0.379873E-004  0.758289E-004  0.848119E-004 -0.532563E-004  0.106308E-003  0.118902E-003
  55.00 -0.312643E-004  0.624086E-004  0.698018E-004 -0.446500E-004  0.891288E-004  0.996873E-004
  55.50 -0.252703E-004  0.504436E-004  0.564193E-004 -0.367685E-004  0.733959E-004  0.820907E-004
  56.00 -0.199072E-004  0.397379E-004  0.444454E-004 -0.295136E-004  0.589139E-004  0.658931E-004
  56.50 -0.150949E-004  0.301320E-004  0.337015E-004 -0.228060E-004  0.455244E-004  0.509175E-004
  57.00 -0.107676E-004  0.214938E-004  0.240400E-004 -0.165806E-004  0.330975E-004  0.370184E-004
  57.50 -0.686975E-005  0.137132E-004  0.153377E-004 -0.107834E-004  0.215253E-004  0.240753E-004
  58.00 -0.335490E-005  0.669692E-005  0.749026E-005 -0.536896E-005  0.107173E-004  0.119869E-004
  58.50 -0.183213E-006  0.365722E-006  0.409047E-006 -0.298976E-006  0.596805E-006  0.667504E-006
  59.00  0.267947E-005 -0.534866E-005  0.598228E-005  0.445939E-005 -0.890166E-005  0.995619E-005
  59.50  0.526275E-005 -0.105053E-004  0.117498E-004  0.893437E-005 -0.178345E-004  0.199472E-004
  60.00  0.759242E-005 -0.151557E-004  0.169511E-004  0.131505E-004 -0.262505E-004  0.293602E-004
  60.50  0.969112E-005 -0.193451E-004  0.216368E-004  0.171290E-004 -0.341923E-004  0.382428E-004
  61.00  0.115788E-004 -0.231132E-004  0.258513E-004  0.208888E-004 -0.416974E-004  0.466370E-004
